,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Estonia,Finland,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Denmark,France,Netherlands,United Kingdom
2021-04-18,129594,12805,585988,344223,949996,188994,386381,307790,1601881,117554,84419,3142262,315273,750508,6286,243508,3870131,101191,111334,2907,233844,64746,29966,245897,2399,95551,147094,107510,2688025,831001,1029304,4649044,5010,662368,740038,232071,3407283,900138,632399,1999567,242633,5249622,1410950,4397740
2021-04-25,130537,13060,601733,352950,974418,194733,397500,322626,1619383,120215,86045,3287418,333129,769518,6390,246633,3962674,103638,115316,2971,241594,66007,30174,249139,2432,96660,150588,110612,2758856,834442,1046264,4708640,5047,679667,748935,237028,3468617,938343,646509,2079200,247622,5456417,1467337,4414804
2021-05-02,131238,13282,615355,361063,995562,198461,405194,335173,1634114,122685,87437,3416822,346422,782892,6472,249838,4044762,103638,119750,3033,249951,67205,30319,251335,2457,97619,152685,113469,2803233,837277,1057655,4768476,5066,691920,756249,241672,3524077,973604,659974,2137959,252912,5605532,1516802,4430128
2021-05-09,131723,13423,625114,368888,1016609,200693,410202,344494,1645061,125126,88946,3520329,362004,791709,6506,252809,4111210,105784,123963,3060,258026,68153,30447,252749,2479,98303,154026,116365,2833052,839582,1066111,4824621,5079,700408,761546,246082,3567408,1007792,670613,2175151,259056,5727293,1565880,4444791
2021-05-16,132015,13510,631491,376341,1031923,202143,414192,350390,1652840,127053,90374,3593434,377090,798147,6537,255706,4159122,106506,127978,3077,265871,68922,30480,253845,2493,98852,154698,119299,2854079,842182,1071899,4883734,5087,706458,765867,249310,3604799,1037126,679510,2210375,266503,5825659,1600993,4460710
2021-05-23,132209,13569,636019,386025,1048881,203150,416646,353986,1657893,128592,91733,3648958,389804,802088,6556,258810,4192183,106770,130945,3089,271210,69545,30504,254676,2501,99248,155063,122414,2865622,845224,1075543,4944129,5089,709939,768747,251690,3636453,1058341,687353,2239897,273494,5863138,1628922,4472477
2021-05-30,132309,13693,639337,393807,1061200,203839,418274,356141,1661159,129486,92636,3679148,401301,804382,6576,261673,4216003,106997,133098,3101,274558,69830,30533,255145,2504,99605,155269,124824,2871950,848658,1077584,5005171,5090,712224,770851,253631,3668658,1068473,693023,2259743,280383,5916568,1649460,4494004
2021-06-06,132379,13758,641839,399852,1070802,204304,419473,357565,1663517,130119,93383,3700367,409368,806008,6604,264498,4232428,107058,134812,3113,276831,70182,30571,255453,2508,99812,155417,126817,2875136,852646,1078863,5067246,5090,713678,772528,255375,3697981,1078062,697292,2273708,286489,5916568,1664427,4526855
2021-06-13,132459,13813,643851,405663,1076338,204597,420336,358563,1665097,130510,93953,3714969,414933,806790,6616,266804,4244872,107170,136030,3118,278121,70406,30581,255797,2525,99956,155536,128046,2877469,857447,1079726,5148499,5090,714891,773710,256443,3733600,1083456,700051,2283746,289874,5916568,1673596,4575822
2021-06-20,132490,13842,644939,410678,1079415,204814,421032,359173,1666025,130806,94465,3721981,418342,807428,6627,269037,4252976,107192,136810,3121,278756,70516,30589,256140,2548,100075,155624,129333,2878767,865050,1080256,5255214,5091,715753,774350,256982,3757442,1084636,701627,2291135,291652,5916568,1679542,4640087
2021-06-27,132512,13882,645704,415339,1082476,204945,421531,359652,1666890,130968,95399,3726710,420905,807910,6637,271260,4258069,107299,137210,3125,279062,70600,30606,256559,2571,100190,155673,130588,2879638,874547,1080630,5387486,5091,716301,774838,257240,3782463,1088896,702507,2297801,292943,5916568,1683828,4742636
2021-07-04,132535,13918,646334,421350,1086508,205047,422034,360237,1667935,131188,96706,3729682,425964,808197,6654,274306,4263317,107797,137631,3138,279270,71031,30652,256970,2587,100327,155710,131949,2880270,889088,1080951,5544209,5092,716873,775157,257421,3833868,1090880,703334,2304311,295317,5916568,1690625,4914043
2021-07-11,132592,14075,647230,427906,1093700,205145,422462,360826,1669351,131487,98350,3734468,438809,808437,6675,277892,4271276,107854,137899,3151,279578,72010,31061,257467,2622,100478,155797,133197,2880821,907974,1081236,5713351,5092,717549,775439,257863,3937192,1092540,704943,2311025,299223,5916568,1736879,5132764
2021-07-18,132686,14273,649171,434362,1103413,205285,422965,361595,1671027,131848,100507,3741781,457312,808725,6718,284510,4287458,107903,138159,3162,280131,72759,32470,257946,2682,100662,155922,134339,2881424,930685,1081632,5884593,5094,718590,775694,258190,4100222,1094287,707976,2318035,306100,5916568,1807444,5447870
2021-07-25,132875,14498,651653,440708,1113465,205420,423686,362621,1672409,132458,103334,3752592,475919,809101,7233,292996,4317415,108017,138481,3177,281347,73412,33668,258624,2785,101130,156078,135767,2882146,953059,1082292,6049215,5108,720112,776037,258651,4280429,1096799,712668,2325776,311520,5916568,1847372,5715308
2021-08-01,133121,14678,654787,446998,1124715,205655,425148,363758,1673694,133685,107866,3766765,494907,809491,8051,302074,4355348,108465,138899,3190,283427,73870,34375,259549,2891,102092,156452,137853,2883029,970937,1083341,6207513,5143,722221,776512,259273,4447044,1100040,717665,2334433,317700,6063402,1869909,5899243
